epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.608,2.46627,7.37151,2.59569,0.83442,0.0822,0.06188,0.01205,2.28528,3.56427,2.32366,0.000236767,0.000236767,0.000236767
2,443.837,2.197,5.99604,2.25155,0.8982,0.03543,0.03638,0.00999,2.22632,3.47261,2.42472,0.000470019,0.000470019,0.000470019
3,469.374,2.21627,5.36831,2.33908,0.8783,0.04154,0.06925,0.01598,2.13872,4.23968,2.45867,0.000698512,0.000698512,0.000698512
4,494.851,2.19266,4.67172,2.3163,0.77951,0.10179,0.09113,0.03522,2.13819,3.47519,2.30459,0.00069258,0.00069258,0.00069258
5,520.26,2.0926,4.12962,2.28034,0.59871,0.10944,0.12182,0.05208,1.92353,2.80965,2.16284,0.00068544,0.00068544,0.00068544
6,546.546,2.06929,3.78064,2.24956,0.57609,0.11789,0.12093,0.0532,1.8659,2.81258,2.1549,0.0006783,0.0006783,0.0006783
7,582.288,2.05315,3.46455,2.23934,0.74169,0.10166,0.12895,0.0567,2.0677,2.82251,2.26031,0.00067116,0.00067116,0.00067116
8,620.349,1.97441,3.2478,2.15073,0.78107,0.10159,0.19766,0.08584,1.9275,2.58058,2.15744,0.00066402,0.00066402,0.00066402
9,648.754,2.01657,3.13986,2.1988,0.51103,0.2146,0.24673,0.11006,1.96374,2.46954,2.16855,0.000656881,0.000656881,0.000656881
10,675.872,1.96001,2.90929,2.1362,0.55591,0.19264,0.19644,0.08618,2.01458,2.41283,2.21795,0.000649741,0.000649741,0.000649741
11,703.917,1.95729,2.74575,2.13115,0.49916,0.27661,0.26949,0.1212,1.91022,2.30532,2.12539,0.000642601,0.000642601,0.000642601
12,736.265,1.9448,2.7026,2.12317,0.64732,0.19696,0.30147,0.12281,1.86043,2.30419,2.03244,0.000635461,0.000635461,0.000635461
13,774.368,1.9335,2.61586,2.11851,0.64732,0.30996,0.28603,0.13624,1.91157,2.10978,2.11337,0.000628321,0.000628321,0.000628321
14,799.742,1.87885,2.50339,2.05991,0.57485,0.30368,0.32842,0.16181,1.80171,2.05465,2.00833,0.000621181,0.000621181,0.000621181
15,828.63,1.83195,2.38262,2.01473,0.75317,0.30983,0.46384,0.21312,1.91842,2.06128,2.10079,0.000614041,0.000614041,0.000614041
16,854.069,1.81251,2.28373,2.00274,0.64086,0.40739,0.43669,0.22786,1.78033,1.91841,2.0264,0.000606901,0.000606901,0.000606901
17,879.384,1.81583,2.24499,2.01383,0.67777,0.30967,0.4917,0.21687,1.80051,1.93313,2.05471,0.000599761,0.000599761,0.000599761
18,904.582,1.81703,2.21394,1.99054,0.70018,0.31726,0.35345,0.1756,1.78249,1.88887,2.01184,0.000592621,0.000592621,0.000592621
19,929.785,1.79123,2.1036,1.96571,0.68968,0.36268,0.40638,0.17794,1.7664,1.93142,1.98203,0.000585481,0.000585481,0.000585481
20,955.225,1.78013,2.07171,1.97291,0.57875,0.44846,0.43544,0.21108,1.82469,1.86759,2.01053,0.000578341,0.000578341,0.000578341
21,980.694,1.77123,2.00645,1.95173,0.66437,0.52613,0.51944,0.23905,1.82344,1.79515,2.04129,0.000571201,0.000571201,0.000571201
22,1008.19,1.73099,1.94319,1.92941,0.6318,0.47201,0.52351,0.24473,1.83034,1.85527,2.04725,0.000564061,0.000564061,0.000564061
23,1037.86,1.73043,1.93535,1.91848,0.84569,0.38612,0.55502,0.25607,1.78508,1.76183,1.97987,0.000556922,0.000556922,0.000556922
24,1067.09,1.7142,1.8605,1.90548,0.70296,0.55824,0.59144,0.26036,1.86849,1.72627,2.027,0.000549782,0.000549782,0.000549782
25,1092.65,1.68687,1.79345,1.86304,0.70564,0.55576,0.61455,0.29024,1.84432,1.69646,2.01471,0.000542642,0.000542642,0.000542642
26,1138.19,1.68005,1.75414,1.86782,0.52737,0.63472,0.54249,0.2635,1.80016,1.66762,1.98215,0.000535502,0.000535502,0.000535502
27,1189.25,1.69116,1.72567,1.87022,0.64137,0.57029,0.61783,0.29215,1.86933,1.65202,2.02939,0.000528362,0.000528362,0.000528362
28,1214.78,1.66375,1.7396,1.86672,0.63821,0.65347,0.63024,0.31638,1.75876,1.77027,2.00055,0.000521222,0.000521222,0.000521222
29,1267.87,1.66343,1.73975,1.87026,0.63964,0.66179,0.67674,0.32709,1.80022,1.55551,2.00527,0.000514082,0.000514082,0.000514082
30,1489.42,1.67652,1.68118,1.86249,0.75391,0.6154,0.68328,0.35038,1.71644,1.50963,1.94166,0.000506942,0.000506942,0.000506942
31,1697.91,1.63948,1.62621,1.84031,0.74907,0.57634,0.66891,0.33541,1.77038,1.51741,1.94645,0.000499802,0.000499802,0.000499802
32,2131.96,1.61247,1.5748,1.80697,0.67584,0.58522,0.71191,0.33262,1.77914,1.48851,1.99906,0.000492662,0.000492662,0.000492662
33,2331.88,1.59682,1.56384,1.81567,0.72526,0.63846,0.74623,0.38553,1.76392,1.38174,1.97891,0.000485522,0.000485522,0.000485522
34,2581.14,1.58598,1.52724,1.78274,0.66354,0.69455,0.71576,0.33649,1.78781,1.44812,1.98959,0.000478382,0.000478382,0.000478382
35,2918.86,1.59038,1.50756,1.78386,0.85263,0.67526,0.75282,0.38343,1.77392,1.42778,1.99151,0.000471242,0.000471242,0.000471242
