epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,415.173,1.33686,1.04145,1.36558,0.87224,0.79435,0.90249,0.46295,1.89322,1.11091,1.84739,0.000349896,0.000349896,0.000349896
53,422.814,1.34414,1.07649,1.38511,0.87686,0.81788,0.89443,0.41984,1.95906,1.12219,1.95025,0.000342757,0.000342757,0.000342757
54,430.434,1.36347,1.06154,1.39212,0.87814,0.84959,0.88877,0.44166,1.89525,1.10191,1.88615,0.000335618,0.000335618,0.000335618
55,438.018,1.33482,1.04818,1.36911,0.8691,0.86716,0.88359,0.44922,1.90834,1.036,1.86293,0.000328479,0.000328479,0.000328479
56,445.68,1.35062,1.06429,1.39249,0.89205,0.86223,0.91361,0.45482,1.93039,1.00777,1.92703,0.000321339,0.000321339,0.000321339
57,453.264,1.31044,0.9924,1.35132,0.90826,0.82465,0.90582,0.42502,1.97558,1.06409,1.92854,0.0003142,0.0003142,0.0003142
58,460.837,1.30265,1.0053,1.36131,0.88394,0.86104,0.91394,0.4368,1.95982,1.00942,1.90229,0.000307061,0.000307061,0.000307061
59,468.382,1.27364,0.96263,1.34237,0.85837,0.83814,0.89717,0.44258,1.93362,1.08715,1.88996,0.000299921,0.000299921,0.000299921
60,476.155,1.30958,1.02345,1.34256,0.90095,0.81955,0.913,0.45852,1.90972,1.01329,1.86087,0.000292782,0.000292782,0.000292782
61,483.72,1.31412,1.01467,1.36885,0.88061,0.84047,0.90515,0.45902,1.93455,1.01704,1.88458,0.000285643,0.000285643,0.000285643
62,491.455,1.28761,0.98869,1.34141,0.8806,0.84631,0.90255,0.44193,1.94797,1.0499,1.91146,0.000278504,0.000278504,0.000278504
63,499.01,1.31208,1.02148,1.34592,0.87101,0.84808,0.90575,0.4435,1.94786,1.04302,1.92152,0.000271364,0.000271364,0.000271364
64,506.719,1.28908,0.972,1.34233,0.91974,0.82593,0.90062,0.47314,1.91416,1.04478,1.841,0.000264225,0.000264225,0.000264225
65,514.291,1.29121,0.99378,1.32636,0.92314,0.8407,0.89959,0.4682,1.91537,1.01864,1.90813,0.000257086,0.000257086,0.000257086
66,521.803,1.26172,0.9498,1.31501,0.93671,0.82938,0.90545,0.45401,1.93109,1.0351,1.89934,0.000249946,0.000249946,0.000249946
67,529.337,1.29581,0.99139,1.34312,0.92288,0.8413,0.89948,0.45861,1.93714,1.01732,1.90494,0.000242807,0.000242807,0.000242807
68,536.875,1.28081,0.96942,1.33713,0.85773,0.84242,0.88466,0.45663,1.94156,1.07281,1.93646,0.000235668,0.000235668,0.000235668
69,544.638,1.27397,0.95117,1.31104,0.92277,0.8192,0.90782,0.46518,1.93915,0.98578,1.89641,0.000228529,0.000228529,0.000228529
70,552.14,1.23713,0.94793,1.3014,0.92366,0.85126,0.89978,0.45779,1.94316,0.96945,1.92013,0.000221389,0.000221389,0.000221389
71,559.731,1.26453,0.93795,1.32203,0.9251,0.84158,0.90655,0.46063,1.93724,0.97463,1.92782,0.00021425,0.00021425,0.00021425
72,567.325,1.23496,0.91844,1.30017,0.91309,0.84223,0.89809,0.45923,1.93878,0.97823,1.93378,0.000207111,0.000207111,0.000207111
73,575.035,1.24974,0.93588,1.30754,0.93417,0.83352,0.90451,0.45287,1.93882,1.01188,1.93612,0.000199971,0.000199971,0.000199971
74,582.743,1.22414,0.90964,1.28519,0.95004,0.84355,0.91361,0.47455,1.91177,0.9541,1.88538,0.000192832,0.000192832,0.000192832
75,590.267,1.24951,0.9591,1.31399,0.90371,0.82888,0.89505,0.44955,1.9471,0.98645,1.92653,0.000185693,0.000185693,0.000185693
76,597.819,1.24211,0.95273,1.31198,0.90366,0.82499,0.89705,0.47143,1.9171,0.99531,1.92115,0.000178554,0.000178554,0.000178554
77,605.496,1.21113,0.90117,1.29952,0.95617,0.8332,0.90735,0.45104,1.94397,0.98408,1.94743,0.000171414,0.000171414,0.000171414
78,613.073,1.19715,0.88445,1.28004,0.93982,0.83319,0.90565,0.4591,1.96587,0.97994,1.92304,0.000164275,0.000164275,0.000164275
79,620.653,1.18587,0.88522,1.2601,0.88265,0.84465,0.90442,0.46795,1.93065,1.01999,1.92881,0.000157136,0.000157136,0.000157136
80,628.204,1.19355,0.90618,1.27326,0.90478,0.82477,0.8975,0.45517,1.93727,1.01845,1.93937,0.000149996,0.000149996,0.000149996
81,635.762,1.18386,0.88244,1.25787,0.91008,0.84713,0.90162,0.46745,1.96078,1.03739,1.92529,0.000142857,0.000142857,0.000142857
82,643.482,1.19932,0.91533,1.27661,0.91554,0.83939,0.9008,0.46505,1.95761,0.97796,1.94794,0.000135718,0.000135718,0.000135718
83,651.026,1.18056,0.89351,1.25048,0.93076,0.84927,0.90446,0.46291,1.94053,0.9793,1.92706,0.000128579,0.000128579,0.000128579
84,658.593,1.17272,0.86379,1.25089,0.9283,0.85759,0.90857,0.45559,1.91976,0.98546,1.91572,0.000121439,0.000121439,0.000121439
85,666.159,1.20497,0.92089,1.28415,0.93568,0.85238,0.90275,0.46248,1.91261,0.97116,1.90408,0.0001143,0.0001143,0.0001143
86,674.02,1.18128,0.86476,1.25378,0.92051,0.85165,0.90139,0.4728,1.92833,0.97678,1.91076,0.000107161,0.000107161,0.000107161
87,681.629,1.15351,0.82672,1.24806,0.91061,0.8485,0.89983,0.48183,1.90709,0.96382,1.88666,0.000100021,0.000100021,0.000100021
88,689.189,1.1591,0.87439,1.23935,0.94224,0.84836,0.9007,0.47799,1.91256,0.96544,1.88643,9.28821e-05,9.28821e-05,9.28821e-05
89,696.793,1.13407,0.8567,1.24071,0.93607,0.8492,0.90864,0.46836,1.90721,0.97811,1.90665,8.57428e-05,8.57428e-05,8.57428e-05
90,704.408,1.14345,0.85349,1.24479,0.93053,0.84408,0.90953,0.48569,1.9197,0.96207,1.9332,7.86035e-05,7.86035e-05,7.86035e-05
91,712.679,0.94623,0.53633,1.12778,0.93315,0.83863,0.89146,0.45734,1.94894,0.9708,1.93856,7.14643e-05,7.14643e-05,7.14643e-05
92,720.198,0.95542,0.53771,1.1317,0.93542,0.84305,0.89406,0.4574,1.93882,0.97756,1.94814,6.4325e-05,6.4325e-05,6.4325e-05
93,727.717,0.94013,0.52934,1.12948,0.95205,0.84615,0.90425,0.46768,1.94314,0.98501,1.96344,5.71857e-05,5.71857e-05,5.71857e-05
94,735.225,0.93786,0.53429,1.13216,0.95344,0.85143,0.90633,0.46526,1.94502,0.98679,1.95191,5.00464e-05,5.00464e-05,5.00464e-05
95,742.815,0.94136,0.52444,1.1203,0.94976,0.85211,0.90498,0.46444,1.943,0.99633,1.94907,4.29071e-05,4.29071e-05,4.29071e-05
96,750.331,0.9261,0.51942,1.1267,0.94977,0.85041,0.90487,0.46868,1.94232,0.99644,1.94451,3.57678e-05,3.57678e-05,3.57678e-05
97,757.809,0.9269,0.51387,1.11567,0.95319,0.85197,0.90527,0.46261,1.94618,0.98849,1.94914,2.86285e-05,2.86285e-05,2.86285e-05
98,765.325,0.9168,0.51624,1.10975,0.94776,0.84404,0.90437,0.47287,1.93717,0.98339,1.94854,2.14893e-05,2.14893e-05,2.14893e-05
99,772.952,0.91169,0.50661,1.10185,0.94911,0.84567,0.9036,0.47997,1.93611,0.98305,1.95043,1.435e-05,1.435e-05,1.435e-05
100,780.457,0.91935,0.51452,1.11319,0.95235,0.84537,0.90407,0.47299,1.93767,0.98744,1.95347,7.21069e-06,7.21069e-06,7.21069e-06
