epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2046,2.55059,5.84934,2.47601,0.64912,0.03125,0.05455,0.01786,2.20489,3.56857,2.36306,0.000236592,0.000236592,0.000236592
2,29.7348,2.23423,4.66761,2.11833,0.74104,0.12282,0.12103,0.04814,2.14826,3.07699,2.16336,0.000469846,0.000469846,0.000469846
3,37.6075,2.16963,4.03536,2.09466,0.72123,0.12652,0.15967,0.07205,2.13403,2.83893,2.19188,0.000698341,0.000698341,0.000698341
4,46.093,2.0992,3.63792,2.03961,0.53247,0.20872,0.18719,0.08056,2.07543,2.54586,2.14053,0.000692582,0.000692582,0.000692582
5,53.9037,2.0461,3.22108,2.01591,0.53207,0.2339,0.22169,0.11432,1.99216,2.55881,2.06305,0.000685443,0.000685443,0.000685443
6,61.4217,2.00522,2.99824,1.96034,0.24179,0.29433,0.284,0.1211,1.93756,2.2546,2.0486,0.000678304,0.000678304,0.000678304
7,68.9883,1.96843,2.72961,1.96251,0.40373,0.38311,0.37249,0.16182,1.95641,2.20921,2.0314,0.000671164,0.000671164,0.000671164
8,76.7982,1.93369,2.47423,1.9033,0.51541,0.32291,0.33836,0.1714,1.99731,1.98262,2.02018,0.000664025,0.000664025,0.000664025
9,84.3855,1.87401,2.37796,1.86944,0.56202,0.43593,0.49689,0.21501,2.01534,1.90527,2.0285,0.000656886,0.000656886,0.000656886
10,91.9387,1.84101,2.26188,1.82293,0.4901,0.51593,0.52484,0.22873,2.01636,1.8987,2.08179,0.000649746,0.000649746,0.000649746
11,99.4964,1.82162,2.14667,1.82982,0.66702,0.46567,0.49598,0.21639,1.99381,1.76199,2.00736,0.000642607,0.000642607,0.000642607
12,107.073,1.81224,2.03385,1.81284,0.67674,0.50385,0.53566,0.23794,1.8786,1.75613,1.93944,0.000635468,0.000635468,0.000635468
13,114.641,1.80185,1.99019,1.80948,0.61258,0.53119,0.54687,0.29671,1.91439,1.91294,1.98019,0.000628329,0.000628329,0.000628329
14,122.24,1.75138,1.9249,1.77416,0.77104,0.54046,0.63241,0.31503,1.8284,1.71292,1.86428,0.000621189,0.000621189,0.000621189
15,129.812,1.73994,1.86629,1.73945,0.79584,0.57999,0.69318,0.33252,1.85111,1.57441,1.87717,0.00061405,0.00061405,0.00061405
16,137.421,1.72604,1.78915,1.73508,0.7196,0.55304,0.67546,0.31738,1.85751,1.67692,1.91024,0.000606911,0.000606911,0.000606911
17,145.351,1.70563,1.73407,1.70106,0.57615,0.68684,0.71674,0.32901,1.91318,1.63005,1.93098,0.000599771,0.000599771,0.000599771
18,152.905,1.6823,1.71055,1.70136,0.76428,0.53847,0.73684,0.372,1.86608,1.4742,1.87501,0.000592632,0.000592632,0.000592632
19,160.454,1.68104,1.62903,1.66685,0.61771,0.71275,0.75434,0.38776,1.89125,1.51668,1.88955,0.000585493,0.000585493,0.000585493
20,168.014,1.6532,1.57702,1.63395,0.63862,0.75654,0.76416,0.40183,1.85655,1.37693,1.83814,0.000578354,0.000578354,0.000578354
21,175.604,1.65546,1.59656,1.67247,0.75955,0.64291,0.74623,0.38693,1.91191,1.50276,1.9102,0.000571214,0.000571214,0.000571214
22,183.196,1.62663,1.53338,1.62037,0.73618,0.6148,0.73606,0.37531,1.90714,1.35263,1.88134,0.000564075,0.000564075,0.000564075
23,190.788,1.60275,1.48235,1.57534,0.64383,0.74089,0.73271,0.38589,1.84951,1.42446,1.79819,0.000556936,0.000556936,0.000556936
24,198.413,1.60139,1.43579,1.59262,0.86219,0.64354,0.77441,0.37649,1.93216,1.37392,1.89248,0.000549796,0.000549796,0.000549796
25,206.024,1.56224,1.40841,1.56501,0.85551,0.62698,0.76947,0.37177,1.9192,1.37303,1.89693,0.000542657,0.000542657,0.000542657
26,213.686,1.57195,1.41483,1.56062,0.78076,0.69254,0.77646,0.40687,1.8956,1.3103,1.85365,0.000535518,0.000535518,0.000535518
27,221.249,1.55963,1.38655,1.57007,0.80883,0.73572,0.82484,0.42266,1.85325,1.29898,1.82256,0.000528379,0.000528379,0.000528379
28,228.958,1.53855,1.37264,1.53443,0.83343,0.68402,0.79022,0.39261,1.88204,1.32922,1.82779,0.000521239,0.000521239,0.000521239
29,236.509,1.55955,1.39525,1.55585,0.7705,0.66584,0.77439,0.38984,1.93658,1.34031,1.87199,0.0005141,0.0005141,0.0005141
30,244.202,1.52977,1.35237,1.5274,0.85391,0.69681,0.81394,0.40371,1.89519,1.23221,1.87924,0.000506961,0.000506961,0.000506961
31,251.889,1.53671,1.32383,1.55077,0.81495,0.70185,0.79679,0.42051,1.90269,1.25115,1.87914,0.000499821,0.000499821,0.000499821
32,259.429,1.52085,1.30275,1.51037,0.74518,0.78852,0.79608,0.4115,1.91678,1.23595,1.84095,0.000492682,0.000492682,0.000492682
33,267.016,1.50799,1.28853,1.52532,0.809,0.78992,0.84652,0.42742,1.89178,1.26592,1.86061,0.000485543,0.000485543,0.000485543
34,274.729,1.47183,1.24308,1.48721,0.77271,0.78048,0.83927,0.42357,1.89216,1.23068,1.87347,0.000478404,0.000478404,0.000478404
35,282.509,1.49366,1.24577,1.50135,0.8335,0.77501,0.85332,0.441,1.90488,1.2376,1.87096,0.000471264,0.000471264,0.000471264
36,290.175,1.4559,1.22297,1.47701,0.85469,0.7835,0.85875,0.43453,1.88599,1.27705,1.83782,0.000464125,0.000464125,0.000464125
37,298.052,1.4524,1.22239,1.47366,0.87133,0.72956,0.84024,0.41684,1.94966,1.22332,1.87554,0.000456986,0.000456986,0.000456986
38,306.636,1.46301,1.20798,1.47101,0.84876,0.77379,0.84038,0.40082,1.92875,1.22951,1.9104,0.000449846,0.000449846,0.000449846
39,314.517,1.47636,1.22418,1.49769,0.93333,0.75928,0.88535,0.43309,1.93978,1.15097,1.91496,0.000442707,0.000442707,0.000442707
40,322.441,1.44045,1.19421,1.45752,0.8729,0.82059,0.87709,0.4423,1.94534,1.20144,1.87793,0.000435568,0.000435568,0.000435568
41,330.245,1.47752,1.20279,1.50358,0.89797,0.79611,0.86769,0.44182,1.99938,1.21137,1.95578,0.000428429,0.000428429,0.000428429
42,338.215,1.44633,1.18487,1.46181,0.83705,0.78364,0.8475,0.4341,1.93377,1.26209,1.87139,0.000421289,0.000421289,0.000421289
43,346.138,1.43944,1.14347,1.45706,0.86025,0.73465,0.86238,0.42507,1.98175,1.16456,1.92769,0.00041415,0.00041415,0.00041415
44,353.898,1.39766,1.13688,1.41847,0.9054,0.79445,0.88923,0.45975,1.95493,1.14715,1.85036,0.000407011,0.000407011,0.000407011
45,361.495,1.40827,1.11931,1.41731,0.91774,0.78855,0.87732,0.44694,1.88982,1.1614,1.83471,0.000399871,0.000399871,0.000399871
46,369.002,1.40057,1.12866,1.41573,0.91787,0.79745,0.88564,0.43985,1.93574,1.13125,1.87268,0.000392732,0.000392732,0.000392732
47,376.837,1.4084,1.1041,1.43266,0.91378,0.77996,0.87646,0.43732,1.96241,1.11274,1.9376,0.000385593,0.000385593,0.000385593
48,384.407,1.38171,1.12426,1.42629,0.82132,0.80057,0.86792,0.43572,1.90249,1.16511,1.83154,0.000378454,0.000378454,0.000378454
49,391.966,1.35746,1.07277,1.38964,0.78497,0.85141,0.8804,0.45611,1.88828,1.14634,1.85719,0.000371314,0.000371314,0.000371314
50,399.563,1.35719,1.05596,1.39733,0.81157,0.8449,0.86652,0.44423,1.90557,1.11536,1.87743,0.000364175,0.000364175,0.000364175
51,407.548,1.37629,1.13425,1.39597,0.84626,0.84264,0.87805,0.45597,1.92433,1.0857,1.86958,0.000357036,0.000357036,0.000357036
