epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3348,2.46627,7.37151,2.59569,0.83442,0.0822,0.06188,0.01205,2.28528,3.56427,2.32366,0.000236767,0.000236767,0.000236767
2,110.998,2.197,5.99604,2.25155,0.8982,0.03543,0.03638,0.00999,2.22632,3.47261,2.42472,0.000470019,0.000470019,0.000470019
3,153.681,2.21627,5.36831,2.33908,0.8783,0.04154,0.06925,0.01598,2.13872,4.23968,2.45867,0.000698512,0.000698512,0.000698512
4,193.514,2.19266,4.67172,2.3163,0.77951,0.10179,0.09113,0.03522,2.13819,3.47519,2.30459,0.00069258,0.00069258,0.00069258
5,236.57,2.0926,4.12962,2.28034,0.59871,0.10944,0.12182,0.05208,1.92353,2.80965,2.16284,0.00068544,0.00068544,0.00068544
6,274.247,2.06929,3.78064,2.24956,0.57609,0.11789,0.12093,0.0532,1.8659,2.81258,2.1549,0.0006783,0.0006783,0.0006783
7,313.741,2.05315,3.46455,2.23934,0.74169,0.10166,0.12895,0.0567,2.0677,2.82251,2.26031,0.00067116,0.00067116,0.00067116
8,356.925,1.97441,3.2478,2.15073,0.78107,0.10159,0.19766,0.08584,1.9275,2.58058,2.15744,0.00066402,0.00066402,0.00066402
9,400.594,2.01657,3.13986,2.1988,0.51103,0.2146,0.24673,0.11006,1.96374,2.46954,2.16855,0.000656881,0.000656881,0.000656881
10,438.854,1.96001,2.90929,2.1362,0.55591,0.19264,0.19644,0.08618,2.01458,2.41283,2.21795,0.000649741,0.000649741,0.000649741
