epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4075,2.4472,7.44278,2.54368,0.62361,0.02,0.03396,0.012,2.24602,3.73087,2.27721,0.000236592,0.000236592,0.000236592
2,99.8687,2.2124,6.11253,2.21187,0.85774,0.03795,0.03238,0.01114,2.27513,3.79718,2.23195,0.000469846,0.000469846,0.000469846
3,128.978,2.19596,5.27606,2.27328,0.8442,0.06663,0.1254,0.04188,2.28039,3.2951,2.35198,0.00069834,0.00069834,0.00069834
4,163.478,2.18943,4.61446,2.25717,0.76361,0.11359,0.10101,0.03971,2.18356,3.20576,2.35917,0.00069258,0.00069258,0.00069258
5,192.967,2.12367,4.03278,2.2873,0.62848,0.08598,0.11257,0.05005,2.07024,2.93014,2.30221,0.00068544,0.00068544,0.00068544
6,225.869,2.12302,3.71506,2.25776,0.7148,0.12128,0.2096,0.08536,2.12107,2.86811,2.25745,0.0006783,0.0006783,0.0006783
7,258.468,2.05585,3.39089,2.2126,0.49754,0.1866,0.17753,0.08465,1.97097,2.6956,2.24076,0.00067116,0.00067116,0.00067116
8,287.463,2.03434,3.17841,2.15444,0.65692,0.15927,0.19132,0.08718,2.02672,2.66777,2.19718,0.00066402,0.00066402,0.00066402
9,319.989,1.97344,3.00476,2.1231,0.78558,0.12716,0.19733,0.09962,1.96744,2.53185,2.21041,0.000656881,0.000656881,0.000656881
10,348.905,1.97297,2.88791,2.10691,0.66344,0.18286,0.245,0.10776,2.00031,2.35597,2.19764,0.000649741,0.000649741,0.000649741
11,377.77,1.9292,2.68001,2.06782,0.37605,0.20613,0.20112,0.10177,2.01558,2.42737,2.12157,0.000642601,0.000642601,0.000642601
12,406.699,1.94823,2.59261,2.08438,0.67101,0.23243,0.32519,0.14872,1.90784,2.25072,2.13524,0.000635461,0.000635461,0.000635461
13,435.772,1.87992,2.52417,2.0453,0.82606,0.22937,0.28763,0.13299,1.94698,2.33277,2.15415,0.000628321,0.000628321,0.000628321
14,464.601,1.8575,2.4451,2.01862,0.53972,0.26418,0.30832,0.14363,1.85219,2.15147,2.0359,0.000621181,0.000621181,0.000621181
15,493.465,1.85421,2.37896,1.97521,0.49703,0.30332,0.33335,0.15356,1.84432,2.01542,2.02783,0.000614041,0.000614041,0.000614041
16,522.393,1.84188,2.29598,2.00497,0.62413,0.27793,0.2812,0.13416,1.92292,2.05311,2.07063,0.000606901,0.000606901,0.000606901
17,562.386,1.7955,2.20107,1.9793,0.5541,0.41025,0.45093,0.19761,1.91234,1.91431,2.06704,0.000599761,0.000599761,0.000599761
18,603.054,1.78048,2.13299,1.97014,0.49729,0.46196,0.38749,0.16458,1.90495,1.88264,2.08976,0.000592621,0.000592621,0.000592621
19,652.711,1.77797,2.04359,1.93498,0.50182,0.51089,0.50633,0.23394,1.8487,1.85606,2.02579,0.000585481,0.000585481,0.000585481
20,703.894,1.78167,1.99481,1.93369,0.54136,0.39266,0.44512,0.21131,1.8152,2.00068,1.99995,0.000578341,0.000578341,0.000578341
21,742.226,1.74684,1.97628,1.92391,0.57936,0.49054,0.50625,0.22788,1.96109,1.81165,2.10726,0.000571201,0.000571201,0.000571201
